Animation File,Animation Description,Frame Range (@30fps)
,,
ALL,T-Pose,Frame 0
,,
,,
Rifle Animations,,
,,
Rifle_Walks,Walk Forward,Frame 1 - 25
,Walk Backward,26 - 50
,Walk Left,51 - 75
,Walk Right,76 - 100
,,
Rifle_Runs,Run Forward,Frame 1 - 13
,Run Backward,14 - 26
,Run Left,27 - 39
,Run Right,40 - 52
,Combat Roll,53 - 92
,,
Rifle_Standing,Idle,Frame 1 - 57
,Raise Rifle,58 - 71
,Fire,71 - 80
,Lower Rifle,81 - 94
,Hip Fire,95 - 110
,Rifle Reload,111 - 172
,Shotgun Fire,173 - 190
,Shotgun Cock,191 - 203
,Rifle Melee,204 - 227
,,
Rifle Cover,Run to Cover,Frame 1 - 19
,Pop Out,20 -30
,Fire Idle,31 - 60
,Fire,61 - 69
,Pop In,70 - 80
,Cover Idle,81 - 120
,Cover Vault,121 - 155
,,
Grenade Animations,,
,,
Grenade,Rifle Holster,Frame 1 - 12
,Ready,13 -  43
,Idle,43 -  124
,Throw,125 - 155
,Reach for Rifle,155 -  180
,,
,,
Pistol Animations,,
,,
Pistol_Walks,Walk Forward,Frame 1 - 22 / 43
,Walk Backward,44 - 70 / 94
,Walk Left,95 - 112 / 129
,Walk Right,130 - 150 / 170
,,
Pistol Runs,Run Forward,Frame 1 - 12
,Run Backward,13 - 25
,Run Left,26 - 37
,Run Right,38 - 49
,Sprint,50 - 60
,,
Pistol Misc,Holster,Frame 1 - 19
,Draw,20 - 30
,Fire,31 - 49
,Reload,50 - 95
,Idle,96 -  160
,Melee,161 - 180
,,
Pistol Cover,Run to Cover,Frame 1 - 29
,Pop Out,30 - 40
,Fire Idle,41 - 62
,Fire,63 - 69
,Pop In,70 - 80
,Cover Idle,81 - 141
,Cover Vault,142 - 178
,,
Other Anims,,
,,
Pistol Hit Reactions,Pistol Head,Frame 1 - 50
,Pistol Stomach,51 - 100
,Pistol Back,101 - 150
,,
Rifle Hit Reactions,Rifle Head,Frame 1 - 50
,Rifle Stomach,51 - 90
,Rifle Back,91 - 150
,,
Deaths,Pistol Death Forward,Frame 1 - 100
,Pistol Death Backward,101 - 150
,Rifle Death Forward,151 - 250
,Rifle Death Backward,251 - 300
,,
BONUS,,
,,
07_Item Pickups,ItemPickup_Ground,Frame 1 - 50
,ItemPickup_Surface,51 - 71
,Item Discard,72 - 102
,,
06_Melee Kicks,Push-Kick,Frame 1 - 31
,Ground Kick,32 - 62
,Ground Kick #02,63 - 103
,,
21_GetUps,T-Pose,0
,GetUp From Back,Frame 1 - 125
,GetUp From Stomach,126 - 235
